name,latitude,longitude,address,program_count,program_ids
춘천바이오산업진흥원,37.8921875316716,127.742990593952,강원특별자치도 춘천시 소양강로 32,8,BNC59D9A2B1F|BN4F8444DF2F|BN9741568FAE|BN57E9925835|BN7018723F29|BN0B25A06FA7|BN2F1BD8ABE1|BNF597698B58
춘천시 평생학습관,37.8495249089956,127.743612444085,강원특별자치도 춘천시 퇴계농공로 40,3,BN40CFD3E830|BN31B39A2249|BN78806EACC0
강원도 춘천시 서면 박사로 882 강원창작개발센터 309호 강원춘천지사,37.8812440340087,127.730207024668,,2,BNB3A3B8A335|BNA381CEF473
3층 센트정원,37.8647074896183,127.734863272609,,1,BN3BFFDBCFA4
세그루게스트하우스,37.90270485687612,127.70044066503368,,1,BNCA7F07268F
한국재활승마교육센터 1층,37.89506140880465,127.69267146972706,,1,BN7D903E79A1
강원혈액원 1층 로비,37.8456716358413,127.735662528253,,1,BN83E7ADABE0
춘천시청소년수련관,37.8737791638699,127.740052455465,강원특별자치도 춘천시 백령로119번길 26,1,BND4D8C523B7
